,PRODUCT_TYPE,ORDER_ID,SITE,MATERIAL_NAME,MATERIAL_NUMBER,MATERIAL_QUALITY_NORM,DEFECT_NOTES,NOMINAL_THICKNESS_MM_SCALED,WIDTH_MM_SCALED,MASS_MIN_KG_SCALED,INCO_TERM,MIN/MAX_BID_EUR_PER_TON,VALID_UNTIL
42,COIL_STRIP,436559,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 145 MB OL  ,1.702,812,14653,FCA,620.0,2025-02-25 16:00
43,COIL_STRIP,436558,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 150 MB OL  ,1.701,813,15208,,620.0,2025-02-25 16:00
44,COIL_STRIP,436556,1 company gmbh,HCT780X,1.0943,,HCT780X+ Z 145 MB OL  ,1.701,812,15033,FCA,620.0,2025-02-25 16:00
45,COIL_STRIP,436554,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 150 MB OL  ,1.7,812,15373,FCA,620.0,2025-02-25 16:00
46,COIL_STRIP,436553,1 company gmbh,,1.0943,DIN EN 10338,HCT780X+ Z 150 MB OL  ,1.7,812,15343,FCA,620.0,2025-02-25 16:00
47,COIL_STRIP,436552,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 145 MB OL  ,1.7,812,14153,FKA,620.0,2025-02-25 16:00
48,COIL_STRIP,436551,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 145 MB OL ,1.7,812,14193,FCA,620.0,2025-02-25 16:00
49,,436550,1 company gmbh,,1.0943,DIN EN 10338,,1.699,812,14438,,620.0,2025-02-25 16:00
50,COIL_STRIP,436549,1 company gmbh,HCT780X,1.0943,DIN EN 10338,,1.699,812,14418,FKA,620.0,2025-02-25 16:00
51,,436521,1 company gmbh,S23SJR,1.0038,DIN EN 10025,,3.628,1256,721,FCA,550.0,2025-02-21 11:00
52,SHEET,436518,1 company gmbh,S23SJR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A KRA,3.626,1345,2931,FCA,550.0,2025-02-21 11:00
53,SHEET,436538,1 company gmbh,S500MC,1.0984,DN EN 10149,DEKL-S500MC  / D2A UUE,8.383,1250,2729,FCA,550.0,2025-02-21 11:00
54,SHEET,436537,1 company gmbh,S500MC,1.0984,DIN EN 10149,DEKL-S500MC  / D2A UUE,8.383,1250,2719,FCA,550.0,2025-02-21 11:00
55,SHEET,436516,1 company gmbh,C45E,1.1191,DN EN 10083,C45E  / D2A EDR,1.81,1500,1900,FCA,550.0,2025-02-21 11:00
56,SHEET,436517,1 company gmbh,C45E,1.1191,,C45E  / D2A EDR,1.81,1500,2092,FCA,550.0,2025-02-21 11:00
57,SHEET,436524,1 company gmbh,E335,1.006,DIN EN 10025,DEKL-E335  / D2A BKR,5.051,1503,1811,FCA,550.0,2025-02-21 11:00
58,SHEET,436532,1 company gmbh,S460MC,1.0982,DIN EN 10149,DEKL-S460MC  / D2A REI,7.057,1312,2781,FCA,550.0,2025-02-21 11:00
59,SHEET,436533,1 company gmbh,S235JR,1.0038,DIN EN 10025,,7.1,1539,2641,,550.0,2025-02-21 11:00
60,SHEET,436534,1 company gmbh,S500MC,1.0984,DIN EN 10149,DEKL-S500MC  / D2A UUE,8.383,1250,2719,FKA,550.0,2025-02-21 11:00
61,SHEET,436535,1 company gmbh,S500MC,1.0984,,DEKL-S500MC  / D2A UUE,8.383,1250,1369,FCA,550.0,2025-02-21 11:00
62,SHEET,436531,1 company gmbh,S460MC,1.0982,,DEKL-S460MC  / D2A REI,7.057,1312,2571,FCA,550.0,2025-02-21 11:00
63,SHEET,436530,1 company gmbh,,1.098,DIN EN 10149,DEKL-S420MC  / D2A REI,7.048,1509,2511,FCA,550.0,2025-02-21 11:00
64,SHEET,436526,1 company gmbh,DD11,1.0332,DIN EN 10111,,6.535,1502,2181,,550.0,2025-02-21 11:00
65,SHEET,436529,1 company gmbh,S420MC,1.098,DIN EN 10149,DEKL-S420MC  / D2A REI,7.048,1509,1511,FCA,550.0,2025-02-21 11:00
66,SHET,436522,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A OEF,3.659,1217,3851,FCA,550.0,21/02/2025 11:00
67,,436527,1 company gmbh,S420MC,1.098,DIN EN 10149,DEKL-S420MC  / D2A UUE,7.046,1503,1751,FCA,550.0,2025-02-21 11:00
68,SHEET,436528,1 company gmbh,S420MC,1.098,DIN EN 10149,DEKL-S420MC  / D2A UUE,7.046,1503,1731,FCA,550.0,2025-02-21 11:00
69,,436525,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A EID,5.058,1252,1851,,550.0,2025-02-21 11:00
70,SHEET,436519,1 company gmbh,S235JR,1.0038,DIN EN 10025,,3.626,1345,1131,FCA,550.0,2025-02-21 11:00
71,SHEET,436520,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A KRA,3.626,1345,2941,FCA,550.0,2025-02-21 11:00
72,SHEET,436515,1 company gmbh,C45,1.0503,DIN EN 10277:2018-09,C45CR+ARU  / D2A EDR,2.021,900,2900,FCA,550.0,2025-02-21 11:00
73,SHEET,436514,1 company gmbh,C45,1.0503,DIN EN 10277:2018-09,C45CR+ARU  / D2A EDR,2.021,900,3158,FCA,550.0,2025-02-21 11:00
74,SHEET,436523,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A REI,4.512,1501,2170,FCA,550.0,2025-02-21 11:00
75,,436536,1 company gmbh,S500MC,1.0984,DIN EN 10149,DEKL-S500MC  / D2A UUE,8.383,1250,2719,FCA,550.0,2025-02-21 11:00
76,COIL_STRIP,436285,1 company gmbh,CR380LA,,VDA 239-100,CR3GA45/45-E ZF 100 RC OL  / D2A VNK,0.712,1375,3340,FCA,490.0,2025-02-20 16:00
77,COIL_STRIP,436302,1 company gmbh,CR180BH,,VDA 239-100,CR180BHE+EG47/47EPO  / D1A UGP,0.707,1292,23111,FCA,490.0,2025-02-20 16:00
78,COIL_STRIP,436295,1 company gmbh,CR180BH,,,CR180BHGI50/50-E Z 100 MC  / D2A POZ,0.735,1621,2871,,490.0,2025-02-20 16:00
79,COIL_STRIP,436298,1 company gmbh,,1.0306,,DX54D+ Z 105 MC  / D3A KBK,0.692,1533,1728,FKA,490.0,2025-02-20 16:00
80,,436293,1 company gmbh,CR3,,VDA 239-100,CR3ZM35/35-U ZM 90 MB OL  / D2A VZC,0.73,1468,1990,FCA,490.0,2025-02-20 16:00
81,COIL_STRIP,436287,1 company gmbh,CR380LA,,VDA 239-100,CR3GA45/45-E ZF 100 RC OL  / D2A OZE,0.713,1376,2710,,490.0,2025-02-20 16:00
82,COIL_STRIP,436283,1 company gmbh,CR180BH,,VDA 239-100,CR180BHZM40/40-E ZM 90 MC OL  / D2A VMB,0.712,1432,3160,FCA,490.0,2025-02-20 16:00
83,COIL_STRIP,436281,1 company gmbh,CR4,,VDA 239-100,CR4ZM35/35-U ZM 80 MB OL  / D2A VZC,0.712,1493,4210,,490.0,2025-02-20 16:00
84,COIL_STRIP,436288,1 company gmbh,,1.035,DIN EN 10346,DX52D+ Z 100 MC  / D2A EIN,0.715,1676,2880,FCA,490.0,2025-02-20 16:00
85,COIL_STRIP,436284,1 company gmbh,CR4,,VDA 239-100,CR4ZM40/40-U ZM 85 MB OL  / D2A VZC,0.712,1406,2180,FCA,490.0,2025-02-20 16:00
86,COIL_STRIP,436286,1 company gmbh,CR180BH,,VDA 239-100,CR180BHZM40/40-E ZM 90 MC OL  / D2A VMB,0.712,1433,2280,FCA,490.0,2025-02-20 16:00
87,COIL_STRIP,436289,1 company gmbh,CR210BH,,,CR210BH GA45/45-U  / D2A UTE,0.717,1346,3061,FCA,490.0,2025-02-20 16:00
88,COILS_STRIP,436292,1 company gmbh,CR380LA,,VDA 239-100,CR3ZM35/35-U ZM 80 MB OL  / D2A VMB,0.729,1430,2640,FCA,490.0,2025-02-20 16:00
89,COIL_STRIP,436291,1 company gmbh,CR380LA,,VDA 239-100,CR3ZM35/35-U ZM 80 MB OL  / D2A VMF,0.729,1468,3510,,490.0,2025-02-20 16:00
90,COIL_STRIP,436290,1 company gmbh,CR210BH,,,CR210BHGA45/45-E ZF 95 RC OL  / D2A POZ,0.717,1347,3780,FCA,490.0,2025-02-20 16:00
91,COIL_STRIP,436280,1 company gmbh,CR3,,VDA 239-100,CR3ZM35/35-U ZM 85 MB OL  /  SAO,0.71,1514,2570,,490.0,2025-02-20 16:00
